BOROUGH,TAX BLOCK,TAX LOT,BBL,BILLBBL,CD,HOUSE NUMBER,STREET NAME,ADDRESS,PARCEL NAME,AGENCY,USE CODE,USE TYPE,OWNERSHIP,CATEGORY,EXPANDED CATEGORY CODE,EXPANDED CATEGORY DESCRIPTION,LEASED PROPERTIES,FINAL COMMITMENT,AGREEMENT,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,GEOM
4,4210,1,4042100001,4042100001,407,,133 STREET,133 STREET,FLUSHING AIRPORT,EDC,1510,NO USE-NON RESIDENTIAL STRUCTURE,C,3,8,PROPERTY WITH NO USE,,D,,1030017,223274,40.779394,-73.834747,POINT (-73.834747 40.779394)
3,4012,32,3040120032,3040120032,305,583,BELMONT AVENUE,583 BELMONT AVENUE,,HPD,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,D,,1015326,184114,40.671973,-73.887973,POINT (-73.887973 40.671973)
5,4617,23,5046170023,5046170023,503,,GIBSON AVENUE,GIBSON AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,942454,141901,40.556063,-74.150411,POINT (-74.150411 40.556063)
3,2436,20,3024360020,3024360020,301,347,KEAP STREET,347 KEAP STREET,GREENTHUMB GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,996788,197646,40.709161,-73.954776,POINT (-73.954776 40.709161)
4,16004,120,4160040120,4160040120,414,,BEACH   59 STREET,BEACH   59 STREET,ROCKAWAY COMMUNITY PARK,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,1042862,156236,40.595314,-73.78895,POINT (-73.78895 40.595314)
5,6694,1,5066940001,5066940001,503,152,TRENTON COURT,152 TRENTON COURT,LEMON CREEK PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,928705,127159,40.515524,-74.199768,POINT (-74.199768 40.515524)
2,2895,1,2028950001,2028950001,203,1408,WEBSTER AVENUE,1408 WEBSTER AVENUE,BORGIA BUTLER HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,1010254,244277,40.837121,-73.906025,POINT (-73.906025 40.837121)
4,7482,165,4074820165,4074820165,411,,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,ALLEY POND PARK,PARKS,442,COMMUNITY PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1050234,215649,40.758337,-73.761823,POINT (-73.761823 40.758337)
5,1237,165,5012370165,5012370165,501,,LOCKMAN AVENUE,LOCKMAN AVENUE,,DSBS,852,RAIL LINE,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,939089,170192,40.633699,-74.162709,POINT (-74.162709 40.633699)
4,13296,101,4132960101,4132960101,413,14540,ROCKAWAY BOULEVARD,14540 ROCKAWAY BOULEVARD,,MTA,890,OTHER TRANSPORTATION FACILITY,P,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",L,,,1046883,180013,40.66055,-73.77425,POINT (-73.77425 40.66055)
5,6351,1,5063510001,5063510001,503,,BAYVIEW TERRACE,BAYVIEW TERRACE,BAYVIEW TERRACE PARK  R-137,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,938720,131224,40.526738,-74.163776,POINT (-74.163776 40.526738)
1,2215,824,1022150824,1022150824,112,4124,9 AVENUE,4124 9 AVENUE,PS 98 ANNEX,EDUC,211,ELEMENTARY SCHOOL,P,1,2,EDUCATIONAL USE,L,,,1008662,256784,40.871454,-73.911732,POINT (-73.911732 40.871454)
4,13433,53,4134330053,4134330053,413,,183 STREET,183 STREET,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1049755,177953,40.654875,-73.763919,POINT (-73.763919 40.654875)
4,3989,25,4039890025,4039890025,407,,136 STREET,136 STREET,POWELL'S COVE PARK,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,1030342,226800,40.78907,-73.833549,POINT (-73.833549 40.78907)
3,1821,25,3018210025,3018210025,303,308-26,MARCUS GARVEY BOULEVARD,308-26 MARCUS GARVEY BOULEVARD,PS 44 AND PLAYGROUND (B-216),PARKS,430,PLAYGROUND/SPORTS AREA,C,1,3,CULTURAL & RECREATIONAL USE,,,,1001014,189343,40.686364,-73.939554,POINT (-73.939554 40.686364)
2,2608,53,2026080053,2026080053,203,,FULTON AVENUE,FULTON AVENUE,ESTELLA DIGGS PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1010252,241242,40.828791,-73.906044,POINT (-73.906044 40.828791)
4,1823,21,4018230021,4018230021,407,126-42,35 AVENUE,126-42 35 AVENUE,WILLETS POINT URS,HPD,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,,,1027614,215958,40.759325,-73.84347,POINT (-73.84347 40.759325)
1,1171,69,1011710069,1011710069,107,,,,THELONIOUS MONK CIRCLE,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,987194,221562,40.774813,-73.989371,POINT (-73.989371 40.774813)
3,2227,1,3022270001,3022270001,301,215,HEYWARD STREET,215 HEYWARD STREET,IS 71 AND PLAYGROUND,EDUC,212,INTERMEDIATE SCHOOL,C,1,2,EDUCATIONAL USE,,,,997196,195765,40.703997,-73.953308,POINT (-73.953308 40.703997)
4,529,2,4005290002,4005290002,401,32-19,12 STREET,32-19 12 STREET,LONG ISLAND CITY HS,EDUC,213,ACADEMIC HIGH SCHOOL,C,1,2,EDUCATIONAL USE,,,,1002542,218334,40.765934,-73.933965,POINT (-73.933965 40.765934)
3,3350,28,3033500028,3033500028,304,420,CENTRAL AVENUE,420 CENTRAL AVENUE,BUSHWICK 2 (GROUP B AND D),NYCHA,451,RECREATION CENTER/GYMNASIUM,O,1,3,CULTURAL & RECREATIONAL USE,,,,1007316,191767,40.693003,-73.916822,POINT (-73.916822 40.693003)
4,15837,31,4158370031,4158370031,414,,BEACH   46 STREET,BEACH   46 STREET,EDGEMERE URBAN RENEWAL PARK,PARKS,474,UNDEVELOPED OPEN SPACE,C,1,3,CULTURAL & RECREATIONAL USE,,,,1046150,156237,40.595295,-73.77711,POINT (-73.77711 40.595295)
1,1057,50,1010570050,1010570050,104,430-42,WEST   48 STREET,430-42 WEST   48 STREET,CLINTON COMMUNITY GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,986539,217177,40.762777,-73.991737,POINT (-73.991737 40.762777)
3,334,14,3003340014,3003340014,306,32-40,SACKETT STREET,32-40 SACKETT STREET,RED HOOK CONTAINER TERMINAL,EDC,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,D,L,982542,189135,40.685809,-74.006159,POINT (-74.006159 40.685809)
3,3586,42,3035860042,3035860042,316,756,HOPKINSON AVENUE,756 HOPKINSON AVENUE,HOPKINSON R AND L CBLK ASSOC. GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,1008676,180446,40.661926,-73.911959,POINT (-73.911959 40.661926)
4,12014,3,4120140003,4120140003,412,14206,FOCH BOULEVARD,14206 FOCH BOULEVARD,FHA 5,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,1039902,186541,40.678514,-73.799358,POINT (-73.799358 40.678514)
5,4792,115,5047920115,5047920115,503,53,TARLTON STREET,53 TARLTON STREET,,PARKS,479,OTHER OPEN SPACE,C,1,3,CULTURAL & RECREATIONAL USE,,,,952139,140739,40.552914,-74.115552,POINT (-74.115552 40.552914)
2,4567,1,2045670001,2045670001,211,2910,EASTCHESTER ROAD,2910 EASTCHESTER ROAD,GIVAN SQUARE PARK/3 TRIANGLES,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1027907,255540,40.867965,-73.842155,POINT (-73.842155 40.867965)
1,2243,75,1022430075,1022430075,112,,PARK TERRACE EAST,PARK TERRACE EAST,ISHAM PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1006929,256322,40.87019,-73.918,POINT (-73.918 40.87019)
3,7054,45,3070540045,3070540045,313,2950,WEST   25 STREET,2950 WEST   25 STREET,PS 288 AND PLAYGROUND  JOP),EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,986362,148408,40.574022,-73.992398,POINT (-73.992398 40.574022)
4,3334,71,4033340071,4033340071,406,7610,AUSTIN STREET,7610 AUSTIN STREET,LEO EHRENREICH -AUSTIN ST PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,C,1,3,CULTURAL & RECREATIONAL USE,,,,1029476,200001,40.715518,-73.836857,POINT (-73.836857 40.715518)
3,1233,26,3012330026,3012330026,308,801,PARK PLACE,801 PARK PLACE,PS 138 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,997719,184808,40.673922,-73.951444,POINT (-73.951444 40.673922)
4,4953,1,4049530001,4049530001,407,138-10,32 AVENUE,138-10 32 AVENUE,LATIMER HOUSE/ATHLETIC FIELD,EDUC,432,PLAYING FIELD,C,1,3,CULTURAL & RECREATIONAL USE,,,,1031469,218905,40.767394,-73.829535,POINT (-73.829535 40.767394)
3,644,1,3006440001,3006440001,307,,23 STREET,23 STREET,23 STREET BULKHEAD,NYPD,930,INDOOR STORAGE (WAREHOUSE),C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,983688,181391,40.664553,-74.002026,POINT (-74.002026 40.664553)
2,2378,31,2023780031,2023780031,201,747,ELTON AVENUE,747 ELTON AVENUE,VOGUE COMMUNITY GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,1008036,238241,40.82056,-73.914062,POINT (-73.914062 40.82056)
2,2939,90,2029390090,2029390090,203,1600,CROTONA PARK EAST,1600 CROTONA PARK EAST,TREMONT CROTONA DCC,EDUC,751,DAY CARE CENTER,P,1,5,HEALTH & SOCIAL SERVICES USE,L,,,1014351,244046,40.836474,-73.891219,POINT (-73.891219 40.836474)
5,6472,35,5064720035,5064720035,503,,DEISIUS STREET,DEISIUS STREET,BLUE HERON PARK PRESERVE,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,934201,133675,40.533441,-74.18005,POINT (-74.18005 40.533441)
3,1586,28,3015860028,3015860028,303,1164,MYRTLE AVENUE,1164 MYRTLE AVENUE,BMT  BROADWAY AND MYRTLE AVES,NYCTA,862,TRANSIT SUBSTATION,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1002114,193112,40.696707,-73.935578,POINT (-73.935578 40.696707)
4,65,51,4000650051,4000650051,402,,11 STREET,11 STREET,PULASKI BRIDGE,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,997471,208897,40.740041,-73.95229,POINT (-73.95229 40.740041)
3,6537,1,3065370001,3065370001,312,1405-63,MC DONALD AVENUE,1405-63 MC DONALD AVENUE,ERASMUS HALL H.S ATHLETIC FACI,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,991438,164438,40.618018,-73.974109,POINT (-73.974109 40.618018)
3,4539,12,3045390012,3045390012,305,,AMBER STREET,AMBER STREET,,HPD,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,1023730,181955,40.666013,-73.85769,POINT (-73.85769 40.666013)
2,2444,1,2024440001,2024440001,204,265,EAST  161 STREET,265 EAST  161 STREET,BRONX HALL OF JUSTICE,PROB,120,AGENCY OFFICE,O,1,1,OFFICE USE,,,,1006632,240407,40.826509,-73.919127,POINT (-73.919127 40.826509)
3,2156,21,3021560021,3021560021,301,448,BERRY STREET,448 BERRY STREET,BERRY STREET - SOUTH 9TH ST,NYCHA,479,OTHER OPEN SPACE,O,1,3,CULTURAL & RECREATIONAL USE,,,,993613,197205,40.707954,-73.966229,POINT (-73.966229 40.707954)
2,3374,10,2033740010,2033740010,212,243,EAST  233 STREET,243 EAST  233 STREET,EMS STATION 27,FIRE,540,AMBULANCE STATION,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,1020515,265950,40.896571,-73.868825,POINT (-73.868825 40.896571)
3,865,39,3008650039,3008650039,307,,59 STREET,59 STREET,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,980962,171473,40.63733,-74.011847,POINT (-74.011847 40.63733)
3,7874,1,3078740001,3078740001,318,,AVENUE N,AVENUE N,NYCTA BUS LOOP,NYCTA,890,OTHER TRANSPORTATION FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1004437,164936,40.619365,-73.927284,POINT (-73.927284 40.619365)
5,1227,37,5012270037,5012270037,501,43,HARBOR ROAD,43 HARBOR ROAD,FHA HOUSES (GROUP 1),NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,939876,170989,40.635891,-74.159879,POINT (-74.159879 40.635891)
5,304,70,5003040070,5003040070,501,,DALLAS STREET,DALLAS STREET,,DCAS,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,,S,953217,166895,40.624711,-74.111793,POINT (-74.111793 40.624711)
1,1705,21,1017050021,1017050021,111,,FRANKLIN D ROOSEVELT,FRANKLIN D ROOSEVELT,,DSBS,1530,NO USE-WATERFRONT (ANY AGENCY),C,3,8,PROPERTY WITH NO USE,,,,1002645,227926,40.792261,-73.933567,POINT (-73.933567 40.792261)
4,889,1,4008890001,4008890001,401,,HOYT AVENUE,HOYT AVENUE,TRIBOROUGH BRIDGE PLAYGROUND,PARKS,420,MALL/TRIANGLE/HIGHWAY STRIP/PARK STRIP,C,1,3,CULTURAL & RECREATIONAL USE,,,,1005257,221839,40.775548,-73.924153,POINT (-73.924153 40.775548)
4,344,1,4003440001,4003440001,401,25-05,37 AVENUE,25-05 37 AVENUE,PS 112  PLAYGROUND AND DISTRICT OFFICE,PARKS,431,PLAYGROUND,C,1,3,CULTURAL & RECREATIONAL USE,,,,1002637,215191,40.757307,-73.933631,POINT (-73.933631 40.757307)
5,7773,68,5077730068,5077730068,503,,DAMON STREET,DAMON STREET,LOND POND PARK ADDITION R-27,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,920214,127947,40.517629,-74.230313,POINT (-74.230313 40.517629)
1,1928,105,1019280105,1019280105,110,275,WEST  122 STREET,275 WEST  122 STREET,OUR LITTLE GREEN ACRE/GARDEN 8,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,997532,233732,40.808207,-73.952021,POINT (-73.952021 40.808207)
2,2356,60,2023560060,2023560060,110,,,,,DSBS,1530,NO USE-WATERFRONT (ANY AGENCY),C,3,8,PROPERTY WITH NO USE,,D,,1002960,237917,40.819683,-73.932402,POINT (-73.932402 40.819683)
3,7017,36,3070170036,3070170036,313,,WEST   21 STREET,WEST   21 STREET,LA PUERTA ALBIERTA DCC PLAYGROUND,ACS,434,ACCESSORY PLAY AREA,C,1,3,CULTURAL & RECREATIONAL USE,,,,987484,149385,40.576703,-73.988358,POINT (-73.988358 40.576703)
3,1469,4,3014690004,3014690004,316,381,HOPKINSON AVENUE,381 HOPKINSON AVENUE,NYPD PARKING,NYPD,1020,OUTDOOR PARKING,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1008123,183866,40.671315,-73.91394,POINT (-73.91394 40.671315)
5,68,70,5000680070,5000680070,501,00000,RICHMOND TERRACE,00000 RICHMOND TERRACE,SAILOR'S SNUG HARBOR PARK ADDITION,DSBS,852,RAIL LINE,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,956439,174285,40.645005,-74.100216,POINT (-74.100216 40.645005)
3,862,12,3008620012,3008620012,307,330,59 STREET,330 59 STREET,PS 314 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,978878,173152,40.641938,-74.019357,POINT (-74.019357 40.641938)
4,11614,43,4116140043,4116140043,410,13419,111 AVENUE,13419 111 AVENUE,FHA 5,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,1037424,188706,40.684472,-73.808275,POINT (-73.808275 40.684472)
2,3852,164,2038520164,2038520164,210,,COMMERCE AVENUE,COMMERCE AVENUE,WESTCHESTER CREEK CORP,DCAS,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,,L,1028383,243833,40.835831,-73.840511,POINT (-73.840511 40.835831)
4,3907,900,4039070900,4039070900,482,,WOODHAVEN BOULE,WOODHAVEN BOULE,FOREST PARK,PARKS,432,PLAYING FIELD,C,1,3,CULTURAL & RECREATIONAL USE,,,,1024922,194817,40.701311,-73.853315,POINT (-73.853315 40.701311)
3,993,52,3009930052,3009930052,306,,7 STREET,7 STREET,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,988150,183722,40.670951,-73.985941,POINT (-73.985941 40.670951)
5,7754,31,5077540031,5077540031,503,,BARTOW AVENUE,BARTOW AVENUE,LONG POND PARK ADDITION  R-27,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,921007,125012,40.509579,-74.227433,POINT (-74.227433 40.509579)
1,1018,65,1010180065,1010180065,105,202,WEST   47 STREET,202 WEST   47 STREET,DUFFY SQUARE PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,988413,215826,40.759068,-73.984973,POINT (-73.984973 40.759068)
2,5529,100,2055290100,2055290100,210,,TIERNEY PLACE,TIERNEY PLACE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1039432,235361,40.812515,-73.800652,POINT (-73.800652 40.812515)
2,2781,306,2027810306,2027810306,202,2,FARRAGUT STREET,2 FARRAGUT STREET,SOUTH BRONX MARINE TRANSFER STATION/SALT,EDC,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,D,L,1019292,231378,40.801686,-73.87343,POINT (-73.87343 40.801686)
1,1060,63,1010600063,1010600063,104,742,10 AVENUE,742 10 AVENUE,COLUMBUS BRANCH LIBRARY,NYPL,332,BRANCH LIBRARY,C,1,3,CULTURAL & RECREATIONAL USE,,,,986684,217961,40.764929,-73.991213,POINT (-73.991213 40.764929)
5,3768,24,5037680024,5037680024,502,,,,,DEP,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,959803,149269,40.576352,-74.088004,POINT (-74.088004 40.576352)
1,342,60,1003420060,1003420060,103,19 1/2,PITT STREET,19 1/2 PITT STREET,ENG 15  LAD 18  BAT 4,FIRE,520,FIREHOUSE,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,988709,200325,40.716522,-73.983915,POINT (-73.983915 40.716522)
4,14231,766,4142310766,4142310766,410,,HAWTREE BASIN,HAWTREE BASIN,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1030859,177918,40.654898,-73.83202,POINT (-73.83202 40.654898)
3,1802,43,3018020043,3018020043,303,250,LEXINGTON AVENUE,250 LEXINGTON AVENUE,ARMSTRONG HOUSES 1,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,997595,189695,40.687336,-73.951881,POINT (-73.951881 40.687336)
5,4231,149,5042310149,5042310149,502,,SOUTH RAILROAD AVENUE,SOUTH RAILROAD AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,950884,147312,40.570951,-74.1201,POINT (-74.1201 40.570951)
2,3038,65,2030380065,2030380065,206,2315,WASHINGTON AVENUE,2315 WASHINGTON AVENUE,PS 159,EDUC,211,ELEMENTARY SCHOOL,P,1,2,EDUCATIONAL USE,L,,,1013809,251036,40.855662,-73.893147,POINT (-73.893147 40.855662)
1,1918,53,1019180053,1019180053,110,130,WEST  134 STREET,130 WEST  134 STREET,,HPD,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,D,,999943,235848,40.81401,-73.943307,POINT (-73.943307 40.81401)
1,698,1,1006980001,1006980001,104,260,11 AVENUE,260 11 AVENUE,HRA OFFICE OF FACILITIES OPR,NYPD,100,OFFICE,P,1,1,OFFICE USE,L,,,982880,212865,40.750942,-74.004945,POINT (-74.004945 40.750942)
4,14238,1044,4142381044,4142381044,410,102-14,RUSSELL STREET,102-14 RUSSELL STREET,,DCAS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,1031508,178212,40.655702,-73.829679,POINT (-73.829679 40.655702)
3,7049,15,3070490015,3070490015,313,2960,WEST   31 STREET,2960 WEST   31 STREET,SURFSIDE GARDENS,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,984846,148379,40.573942,-73.997855,POINT (-73.997855 40.573942)
1,168,32,1001680032,1001680032,101,125,WORTH STREET,125 WORTH STREET,HEALTH BUILDING-125 WORTH ST,SANIT,110,AGENCY EXECUTIVE OFFICE,C,1,1,OFFICE USE,,,,983598,200014,40.715669,-74.002352,POINT (-74.002352 40.715669)
5,1955,1,5019550001,5019550001,502,501,BRIELLE AVENUE,501 BRIELLE AVENUE,BLOOD ROOT VALLEY PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,945440,154927,40.59183,-74.13974,POINT (-74.13974 40.59183)
4,10582,1,4105820001,4105820001,413,8805,HILLSIDE AVENUE,8805 HILLSIDE AVENUE,JOP PLAYGROUND FOR PS 135,PARKS,431,PLAYGROUND,C,1,3,CULTURAL & RECREATIONAL USE,,,,1051312,202241,40.721528,-73.758066,POINT (-73.758066 40.721528)
2,5850,1513,2058501513,2058501513,208,5550,RIVERDALE AVENUE,5550 RIVERDALE AVENUE,VINMONT VET. MEMORIAL PARK,PARKS,431,PLAYGROUND,C,1,3,CULTURAL & RECREATIONAL USE,,,,1010479,268025,40.902302,-73.905118,POINT (-73.905118 40.902302)
1,2029,11,1020290011,1020290011,110,244,WEST  144 STREET,244 WEST  144 STREET,PS 194,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,1000548,238470,40.821206,-73.941115,POINT (-73.941115 40.821206)
4,10925,1,4109250001,4109250001,412,109-43,FARMERS BOULEVARD,109-43 FARMERS BOULEVARD,,HPD,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,D,,1049099,195374,40.702696,-73.766115,POINT (-73.766115 40.702696)
4,14147,2,4141470002,4141470002,410,,102 STREET,102 STREET,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1030675,181615,40.665047,-73.832658,POINT (-73.832658 40.665047)
5,5777,50,5057770050,5057770050,503,,CARLTON BOULEVARD,CARLTON BOULEVARD,R-120 ARDEN HGHTS WOODS,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,931817,140915,40.5533,-74.188682,POINT (-74.188682 40.5533)
1,606,1,1006060001,1006060001,102,425,AVENUE OF AMERICAS,425 AVENUE OF AMERICAS,JEFFERSON MKT LIBRARY/ PARK,NYPL,332,BRANCH LIBRARY,C,1,3,CULTURAL & RECREATIONAL USE,,,,984417,206875,40.734501,-73.999397,POINT (-73.999397 40.734501)
5,955,100,5009550100,5009550100,502,460,BRIELLE AVENUE,460 BRIELLE AVENUE,SEAVIEW HOSPITAL,DCAS,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,,L,947864,154673,40.591143,-74.13101,POINT (-74.13101 40.591143)
3,6407,47,3064070047,3064070047,311,1939-47,BATH AVENUE,1939-47 BATH AVENUE,PS 200 PLAYGROUND,EDUC,431,PLAYGROUND,C,1,3,CULTURAL & RECREATIONAL USE,,,,983594,158703,40.60228,-74.002362,POINT (-74.002362 40.60228)
2,5604,136,2056040136,2056040136,210,,PELHAM SHORE ROAD,PELHAM SHORE ROAD,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1033639,235407,40.812676,-73.821579,POINT (-73.821579 40.812676)
4,11408,1,4114080001,4114080001,410,139-17,REDDING STREET,139-17 REDDING STREET,SOUTHSIDE BURIAL GROUND,PARKS,1330,CEMETERY,C,1,3,CULTURAL & RECREATIONAL USE,,,,1027455,183658,40.67067,-73.844252,POINT (-73.844252 40.67067)
5,3760,25,5037600025,5037600025,502,,OLYMPIA BOULEVARD,OLYMPIA BOULEVARD,NEW CREEK BLUEBELT  PHASE 4,DEP,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,959573,149775,40.57774,-74.088834,POINT (-74.088834 40.57774)
5,7754,10,5077540010,5077540010,503,,CAMDEN AVENUE,CAMDEN AVENUE,LONG POND PARK ADDITION  R-27,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,921090,124932,40.50936,-74.227134,POINT (-74.227134 40.50936)
1,113,1,1001130001,1001130001,101,,AVENUE OF THE FINEST,AVENUE OF THE FINEST,BROOKLYN BRIDGE APPROACH/VAULTED SPACE,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,983575,198127,40.71049,-74.002435,POINT (-74.002435 40.71049)
3,4291,29,3042910029,3042910029,305,1498,BLAKE AVENUE,1498 BLAKE AVENUE,,HPD,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,D,,1022827,184339,40.672561,-73.860931,POINT (-73.860931 40.672561)
2,2333,70,2023330070,2023330070,201,339,MORRIS AVENUE,339 MORRIS AVENUE,IS 183,EDUC,212,INTERMEDIATE SCHOOL,C,1,2,EDUCATIONAL USE,,,,1004743,235730,40.813677,-73.925967,POINT (-73.925967 40.813677)
4,11781,267,4117810267,4117810267,410,130-15,135 PLACE,130-15 135 PLACE,FHA REPOSSESSED HOUSES GROUP 2,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,1039073,183689,40.670691,-73.80237,POINT (-73.80237 40.670691)
5,3679,27,5036790027,5036790027,502,,HAVEN AVENUE,HAVEN AVENUE,,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,957087,150316,40.579217,-74.097785,POINT (-74.097785 40.579217)
5,3416,35,5034160035,5034160035,502,,ORLANDO STREET,ORLANDO STREET,SOUTH BEACH BLUEBELT,DEP,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,964811,154261,40.590066,-74.06999,POINT (-74.06999 40.590066)
